Text,Language,clean_text,source
" Nature, in the broadest sense, is the natural, physical, material world or universe.",English,nature broadest sense natural physical material world universe,original
"""Nature"" can refer to the phenomena of the physical world, and also to life in general.",English,nature refer phenomenon physical world life general,original
"The study of nature is a large, if not the only, part of science.",English,study nature large part science,original
"Although humans are part of nature, human activity is often understood as a separate category from other natural phenomena.",English,although human part nature human activity often understood separate category natural phenomenon,original
"[1] The word nature is borrowed from the Old French nature and is derived from the Latin word natura, or ""essential qualities, innate disposition"", and in ancient times, literally meant ""birth"".",English,word nature borrowed old french nature derived latin word natura essential quality innate disposition ancient time literally meant birth,original
"[2] In ancient philosophy, natura is mostly used as the Latin translation of the Greek word physis (φύσις), which originally related to the intrinsic characteristics that plants, animals, and other features of the world develop of their own accord.",English,ancient philosophy natura mostly used latin translation greek word physis φύσις originally related intrinsic characteristic plant animal feature world develop accord,original
"[3][4] 
The concept of nature as a whole, the physical universe, is one of several expansions of the original notion;[1] it began with certain core applications of the word φύσις by pre-Socratic philosophers (though this word had a dynamic dimension then, especially for Heraclitus), and has steadily gained currency ever since.",English,concept nature whole physical universe one several expansion original notion began certain core application word φύσις pre socratic philosopher though word dynamic dimension especially heraclitus steadily gained currency ever since,original
"During the advent of modern scientific method in the last several centuries, nature became the passive reality, organized and moved by divine laws.",English,advent modern scientific method last several century nature became passive reality organized moved divine law,original
"[5][6] With the Industrial revolution, nature increasingly became seen as the part of reality deprived from intentional intervention : it was hence considered as sacred by some traditions (Rousseau, American transcendentalism) or a mere decorum for divine providence or human history (Hegel, Marx).",English,industrial revolution nature increasingly became seen part reality deprived intentional intervention hence considered sacred tradition rousseau american transcendentalism mere decorum divine providence human history hegel marx,original
"However, a vitalist vision of nature, closer to the presocratic one, got reborn at the same time, especially after Charles Darwin.",English,however vitalist vision nature closer presocratic one got reborn time especially charles darwin,original
"[1] Within the various uses of the word today, ""nature"" often refers to geology and wildlife.",English,within various us word today nature often refers geology wildlife,original
"Nature can refer to the general realm of living plants and animals, and in some cases to the processes associated with inanimate objects—the way that particular types of things exist and change of their own accord, such as the weather and geology of the Earth.",English,nature refer general realm living plant animal case process associated inanimate object way particular type thing exist change accord weather geology earth,original
"It is often taken to mean the ""natural environment"" or wilderness—wild animals, rocks, forest, and in general those things that have not been substantially altered by human intervention, or which persist despite human intervention.",English,often taken mean natural environment wilderness wild animal rock forest general thing substantially altered human intervention persist despite human intervention,original
"For example, manufactured objects and human interaction generally are not considered part of nature, unless qualified as, for example, ""human nature"" or ""the whole of nature"".",English,example manufactured object human interaction generally considered part nature unless qualified example human nature whole nature,original
"This more traditional concept of natural things that can still be found today implies a distinction between the natural and the artificial, with the artificial being understood as that which has been brought into being by a human consciousness or a human mind.",English,traditional concept natural thing still found today implies distinction natural artificial artificial understood brought human consciousness human mind,original
"Depending on the particular context, the term ""natural"" might also be distinguished from the unnatural or the supernatural.",English,depending particular context term natural might distinguished unnatural supernatural,original
"[1] Earth is the only planet known to support life, and its natural features are the subject of many fields of scientific research.",English,earth planet known support life natural feature subject many field scientific research,original
