clean_text,Language
nature broadest sense natural physical material world universe,English
nature refer phenomenon physical world life general,English
study nature large part science,English
although human part nature human activity often understood separate category natural phenomenon,English
word nature borrowed old french nature derived latin word natura essential quality innate disposition ancient time literally meant birth,English
ancient philosophy natura mostly used latin translation greek word physis φύσις originally related intrinsic characteristic plant animal feature world develop accord,English
concept nature whole physical universe one several expansion original notion began certain core application word φύσις pre socratic philosopher though word dynamic dimension especially heraclitus steadily gained currency ever since,English
advent modern scientific method last several century nature became passive reality organized moved divine law,English
industrial revolution nature increasingly became seen part reality deprived intentional intervention hence considered sacred tradition rousseau american transcendentalism mere decorum divine providence human history hegel marx,English
however vitalist vision nature closer presocratic one got reborn time especially charles darwin,English
within various us word today nature often refers geology wildlife,English
nature refer general realm living plant animal case process associated inanimate object way particular type thing exist change accord weather geology earth,English
often taken mean natural environment wilderness wild animal rock forest general thing substantially altered human intervention persist despite human intervention,English
example manufactured object human interaction generally considered part nature unless qualified example human nature whole nature,English
traditional concept natural thing still found today implies distinction natural artificial artificial understood brought human consciousness human mind,English
depending particular context term natural might distinguished unnatural supernatural,English
earth planet known support life natural feature subject many field scientific research,English
within solar system third closest sun largest terrestrial planet fifth largest overall,English
prominent climatic feature two large polar region two relatively narrow temperate zone wide equatorial tropical subtropical region,English
precipitation varies widely location several metre water per year less millimetre,English
percent earth surface covered salt water ocean,English
remainder consists continent island inhabited land northern hemisphere,English
earth evolved geological biological process left trace original condition,English
outer surface divided several gradually migrating tectonic plate,English
interior remains active thick layer plastic mantle iron filled core generates magnetic field,English
iron core composed solid inner phase fluid outer phase,English
convective motion core generates electric current dynamo action turn generate geomagnetic field,English
atmospheric condition significantly altered original condition presence life form create ecological balance stabilizes surface condition,English
despite wide regional variation climate latitude geographic factor long term average global climate quite stable interglacial period variation degree two average global temperature historically major effect ecological balance actual geography earth,English
geology science study solid liquid matter constitutes earth,English
field geology encompasses study composition structure physical property dynamic history earth material process formed moved changed,English
field major academic discipline important mineral hydrocarbon extraction knowledge mitigation natural hazard geotechnical engineering field understanding past climate environment,English
geology area evolves time rock unit deposited inserted deformational process change shape location,English
rock unit first emplaced either deposition onto surface intrude overlying rock,English
deposition occur sediment settle onto surface earth later lithify sedimentary rock volcanic material volcanic ash lava flow blanket surface,English
igneous intrusion batholith laccoliths dike sill push upwards overlying rock crystallize intrude,English
initial sequence rock deposited rock unit deformed metamorphosed,English
deformation typically occurs result horizontal shortening horizontal extension side side strike slip motion,English
structural regime broadly relate convergent boundary divergent boundary transform boundary respectively tectonic plate,English
earth estimated formed billion year ago solar nebula along sun planet,English
moon formed roughly million year later,English
initially molten outer layer earth cooled resulting solid crust,English
outgassing volcanic activity produced primordial atmosphere,English
condensing water vapor came ice delivered comet produced ocean water source,English
highly energetic chemistry believed produced self replicating molecule around billion year ago,English
continent formed broke reformed surface earth reshaped hundred million year occasionally combining make supercontinent,English
roughly 750 million year ago earliest known supercontinent rodinia began break apart,English
continent later recombined form pannotia broke apart 540 million year ago finally pangaea broke apart 180 million year ago,English
neoproterozoic era freezing temperature covered much earth glacier ice sheet,English
hypothesis termed snowball earth particular interest precedes cambrian explosion multicellular life form began proliferate 530 540 million year ago,English
since cambrian explosion five distinctly identifiable mass extinction,English
last mass extinction occurred million year ago meteorite collision probably triggered extinction non avian dinosaur large reptile spared small animal mammal,English
past million year mammalian life diversified,English
several million year ago specie small african ape gained ability stand upright,English
subsequent advent human life development agriculture civilization allowed human affect earth rapidly previous life form affecting nature quantity organism well global climate,English
comparison great oxygenation event produced proliferation algae siderian period required 300 million year culminate,English
present era classified part mass extinction event holocene extinction event fastest ever occurred,English
wilson harvard university predict human destruction biosphere could cause extinction one half specie next 100 year,English
extent current extinction event still researched debated calculated biologist,English
earth atmosphere key factor sustaining ecosystem,English
thin layer gas envelops earth held place gravity,English
air mostly nitrogen oxygen water vapor much smaller amount carbon dioxide argon etc,English
atmospheric pressure decline steadily altitude,English
ozone layer play important role depleting amount ultraviolet radiation reach surface,English
dna readily damaged light serf protect life surface,English
atmosphere retains heat night thereby reducing daily temperature extreme,English
terrestrial weather occurs almost exclusively lower part atmosphere serf convective system redistributing heat,English
ocean current another important factor determining climate particularly major underwater thermohaline circulation distributes heat energy equatorial ocean polar region,English
current help moderate difference temperature winter summer temperate zone,English
without redistribution heat energy ocean current atmosphere tropic would much hotter polar region much colder,English
weather beneficial harmful effect,English
extreme weather tornado hurricane cyclone expend large amount energy along path produce devastation,English
surface vegetation evolved dependence seasonal variation weather sudden change lasting year dramatic effect vegetation animal depend growth food,English
climate measure long term trend weather,English
various factor known influence climate including ocean current surface albedo greenhouse gas variation solar luminosity change earth orbit,English
based historical record earth known undergone drastic climate change past including ice age,English
climate region depends number factor especially latitude,English
latitudinal band surface similar climatic attribute form climate region,English
number region ranging tropical climate equator polar climate northern southern extreme,English
weather influenced season result earth axis tilted relative orbital plane,English
thus given time summer winter one part earth directly exposed ray sun,English
exposure alternate earth revolves orbit,English
given time regardless season northern southern hemisphere experience opposite season,English
weather chaotic system readily modified small change environment accurate weather forecasting limited day,English
overall two thing happening worldwide temperature increasing average regional climate undergoing noticeable change,English
water chemical substance composed hydrogen oxygen h2o vital known form life,English
typical usage water refers liquid form state substance solid state ice gaseous state water vapor steam,English
water cover earth surface,English
earth found mostly ocean large body water water ground aquifer 001 air vapor cloud precipitation,English
ocean hold surface water glacier polar ice cap land surface water river lake pond,English
additionally minute amount earth water contained within biological body manufactured product,English
ocean major body saline water principal component hydrosphere,English
approximately earth surface area 361 million square kilometer covered ocean continuous body water customarily divided several principal ocean smaller sea,English
half area 000 meter 800 foot deep,English
average oceanic salinity around part per thousand ppt nearly seawater salinity range ppt,English
though generally recognized several separate ocean water comprise one global interconnected body salt water often referred world ocean global ocean,English
concept global ocean continuous body water relatively free interchange among part fundamental importance oceanography,English
major oceanic division defined part continent various archipelago criterion division descending order size pacific ocean atlantic ocean indian ocean southern ocean arctic ocean,English
smaller region ocean called sea gulf bay name,English
salt lake smaller body landlocked saltwater interconnected world ocean,English
two notable example salt lake aral sea great salt lake,English
lake latin word lacus terrain feature physical feature body liquid surface world localized bottom basin another type landform terrain feature global move slowly move,English
earth body water considered lake inland part ocean larger deeper pond fed river,English
world earth known harbor lake titan saturn largest moon lake ethane likely mixed methane,English
known titan lake fed river though titan surface carved numerous river bed,English
natural lake earth generally found mountainous area rift zone area ongoing recent glaciation,English
lake found endorheic basin along course mature river,English
part world many lake chaotic drainage pattern left last ice age,English
lake temporary geologic time scale slowly fill sediment spill basin containing,English
pond body standing water either natural made usually smaller lake,English
wide variety made body water classified pond including water garden designed aesthetic ornamentation fish pond designed commercial fish breeding solar pond designed store thermal energy,English
pond lake distinguished stream via current speed,English
current stream easily observed pond lake possess thermally driven micro current moderate wind driven current,English
feature distinguish pond many aquatic terrain feature stream pool tide pool,English
river natural watercourse usually freshwater flowing towards ocean lake sea another river,English
case river simply flow ground dry completely reaching another body water,English
small river may called several name including stream creek brook rivulet rill general rule defines called river,English
many name small river specific geographic location one example burn scotland north east england,English
sometimes river said larger creek always case due vagueness language,English
river part hydrological cycle,English
water within river generally collected precipitation surface runoff groundwater recharge spring release stored water natural ice snowpacks glacier,English
stream flowing body water current confined within bed stream bank,English
united state stream classified watercourse less foot metre wide,English
stream important conduit water cycle instrument groundwater recharge serve corridor fish wildlife migration,English
biological habitat immediate vicinity stream called riparian zone,English
given status ongoing holocene extinction stream play important corridor role connecting fragmented habitat thus conserving biodiversity,English
study stream waterway general involves many branch inter disciplinary natural science engineering including hydrology fluvial geomorphology aquatic ecology fish biology riparian ecology others,English
ecosystem composed variety biotic abiotic component function interrelated way,English
structure composition determined various environmental factor interrelated,English
variation factor initiate dynamic modification ecosystem,English
important component soil atmosphere radiation sun water living organism,English
central ecosystem concept idea living organism interact every element local environment,English
eugene odum founder ecology stated unit includes organism community given area interacting physical environment flow energy lead clearly defined trophic structure biotic diversity material cycle,English
exchange material living nonliving part within system ecosystem,English
within ecosystem specie connected dependent upon one another food chain exchange energy matter well environment,English
human ecosystem concept based human nature dichotomy idea specie ecologically dependent well abiotic constituent biotope,English
smaller unit size called microecosystem,English
example microsystem stone life,English
macroecosystem might involve whole ecoregion drainage basin,English
wilderness generally defined area significantly modified human activity,English
wilderness area found preserve estate farm conservation preserve ranch national forest national park even urban area along river gulch otherwise undeveloped area,English
wilderness area protected park considered important survival certain specie ecological study conservation solitude,English
nature writer believe wilderness area vital human spirit creativity ecologist consider wilderness area integral part earth self sustaining natural ecosystem biosphere,English
may preserve historic genetic trait provide habitat wild flora fauna may difficult impossible recreate zoo arboretum laboratory,English
although universal agreement definition life scientist generally accept biological manifestation life characterized organization metabolism growth adaptation response stimulus reproduction,English
life may said simply characteristic state organism,English
property common terrestrial organism plant animal fungi protist archaea bacteria cellular carbon water based complex organization metabolism capacity grow respond stimulus reproduce,English
entity property generally considered life,English
however every definition life considers property essential,English
human made analog life may considered life,English
biosphere part earth outer shell including land surface rock water air atmosphere within life occurs biotic process turn alter transform,English
broadest geophysiological point view biosphere global ecological system integrating living being relationship including interaction element lithosphere rock hydrosphere water atmosphere air,English
entire earth contains billion ton 150 trillion pound 1013 kilogram biomass life life within various environment within biosphere,English
nine tenth total biomass earth plant life animal life depends heavily existence,English
million specie plant animal life identified date estimate actual number existing specie range several million well million,English
number individual specie life constantly degree flux new specie appearing others ceasing exist continual basis,English
total number specie rapid decline,English
origin life earth well understood known occurred least billion year ago hadean archean eon primordial earth substantially different environment found present,English
life form possessed basic trait self replication inheritable trait,English
life appeared process evolution natural selection resulted development ever diverse life form,English
specie unable adapt changing environment competition life form became extinct,English
however fossil record retains evidence many older specie,English
current fossil dna evidence show existing specie trace continual ancestry back first primitive life form,English
basic form plant life developed process photosynthesis sun energy could harvested create condition allowed complex life form,English
resultant oxygen accumulated atmosphere gave rise ozone layer,English
