clean_text,Language,text_length,word_count
nature broadest sense natural physical material world universe,English,85,13
nature refer phenomenon physical world life general,English,87,16
study nature large part science,English,65,14
although human part nature human activity often understood separate category natural phenomenon,English,123,19
word nature borrowed old french nature derived latin word natura essential quality innate disposition ancient time literally meant birth,English,194,31
ancient philosophy natura mostly used latin translation greek word physis φύσις originally related intrinsic characteristic plant animal feature world develop accord,English,248,39
concept nature whole physical universe one several expansion original notion began certain core application word φύσις pre socratic philosopher though word dynamic dimension especially heraclitus steadily gained currency ever since,English,328,51
advent modern scientific method last several century nature became passive reality organized moved divine law,English,147,23
industrial revolution nature increasingly became seen part reality deprived intentional intervention hence considered sacred tradition rousseau american transcendentalism mere decorum divine providence human history hegel marx,English,298,43
however vitalist vision nature closer presocratic one got reborn time especially charles darwin,English,130,21
within various us word today nature often refers geology wildlife,English,93,16
nature refer general realm living plant animal case process associated inanimate object way particular type thing exist change accord weather geology earth,English,260,45
often taken mean natural environment wilderness wild animal rock forest general thing substantially altered human intervention persist despite human intervention,English,231,34
example manufactured object human interaction generally considered part nature unless qualified example human nature whole nature,English,175,26
traditional concept natural thing still found today implies distinction natural artificial artificial understood brought human consciousness human mind,English,260,43
depending particular context term natural might distinguished unnatural supernatural,English,123,18
earth planet known support life natural feature subject many field scientific research,English,131,23
within solar system third closest sun largest terrestrial planet fifth largest overall,English,124,22
prominent climatic feature two large polar region two relatively narrow temperate zone wide equatorial tropical subtropical region,English,162,24
precipitation varies widely location several metre water per year less millimetre,English,111,18
percent earth surface covered salt water ocean,English,66,11
remainder consists continent island inhabited land northern hemisphere,English,109,17
earth evolved geological biological process left trace original condition,English,111,16
outer surface divided several gradually migrating tectonic plate,English,78,11
interior remains active thick layer plastic mantle iron filled core generates magnetic field,English,122,20
iron core composed solid inner phase fluid outer phase,English,75,15
convective motion core generates electric current dynamo action turn generate geomagnetic field,English,132,19
atmospheric condition significantly altered original condition presence life form create ecological balance stabilizes surface condition,English,196,26
despite wide regional variation climate latitude geographic factor long term average global climate quite stable interglacial period variation degree two average global temperature historically major effect ecological balance actual geography earth,English,343,52
geology science study solid liquid matter constitutes earth,English,100,17
field geology encompasses study composition structure physical property dynamic history earth material process formed moved changed,English,200,30
field major academic discipline important mineral hydrocarbon extraction knowledge mitigation natural hazard geotechnical engineering field understanding past climate environment,English,242,33
geology area evolves time rock unit deposited inserted deformational process change shape location,English,147,23
rock unit first emplaced either deposition onto surface intrude overlying rock,English,103,17
deposition occur sediment settle onto surface earth later lithify sedimentary rock volcanic material volcanic ash lava flow blanket surface,English,199,33
igneous intrusion batholith laccoliths dike sill push upwards overlying rock crystallize intrude,English,139,20
initial sequence rock deposited rock unit deformed metamorphosed,English,108,17
deformation typically occurs result horizontal shortening horizontal extension side side strike slip motion,English,126,15
structural regime broadly relate convergent boundary divergent boundary transform boundary respectively tectonic plate,English,152,17
earth estimated formed billion year ago solar nebula along sun planet,English,117,21
moon formed roughly million year later,English,52,9
initially molten outer layer earth cooled resulting solid crust,English,84,14
outgassing volcanic activity produced primordial atmosphere,English,68,8
condensing water vapor came ice delivered comet produced ocean water source,English,124,21
highly energetic chemistry believed produced self replicating molecule around billion year ago,English,120,18
continent formed broke reformed surface earth reshaped hundred million year occasionally combining make supercontinent,English,168,26
roughly 750 million year ago earliest known supercontinent rodinia began break apart,English,95,14
continent later recombined form pannotia broke apart 540 million year ago finally pangaea broke apart 180 million year ago,English,164,26
neoproterozoic era freezing temperature covered much earth glacier ice sheet,English,111,17
hypothesis termed snowball earth particular interest precedes cambrian explosion multicellular life form began proliferate 530 540 million year ago,English,212,33
since cambrian explosion five distinctly identifiable mass extinction,English,96,13
last mass extinction occurred million year ago meteorite collision probably triggered extinction non avian dinosaur large reptile spared small animal mammal,English,221,34
past million year mammalian life diversified,English,59,9
several million year ago specie small african ape gained ability stand upright,English,99,17
subsequent advent human life development agriculture civilization allowed human affect earth rapidly previous life form affecting nature quantity organism well global climate,English,263,42
comparison great oxygenation event produced proliferation algae siderian period required 300 million year culminate,English,157,23
present era classified part mass extinction event holocene extinction event fastest ever occurred,English,131,22
wilson harvard university predict human destruction biosphere could cause extinction one half specie next 100 year,English,183,31
extent current extinction event still researched debated calculated biologist,English,112,17
earth atmosphere key factor sustaining ecosystem,English,80,12
thin layer gas envelops earth held place gravity,English,76,15
air mostly nitrogen oxygen water vapor much smaller amount carbon dioxide argon etc,English,101,16
atmospheric pressure decline steadily altitude,English,57,7
ozone layer play important role depleting amount ultraviolet radiation reach surface,English,119,19
dna readily damaged light serf protect life surface,English,82,16
atmosphere retains heat night thereby reducing daily temperature extreme,English,99,14
terrestrial weather occurs almost exclusively lower part atmosphere serf convective system redistributing heat,English,141,21
ocean current another important factor determining climate particularly major underwater thermohaline circulation distributes heat energy equatorial ocean polar region,English,210,28
current help moderate difference temperature winter summer temperate zone,English,112,17
without redistribution heat energy ocean current atmosphere tropic would much hotter polar region much colder,English,155,25
weather beneficial harmful effect,English,53,8
extreme weather tornado hurricane cyclone expend large amount energy along path produce devastation,English,145,22
surface vegetation evolved dependence seasonal variation weather sudden change lasting year dramatic effect vegetation animal depend growth food,English,242,42
climate measure long term trend weather,English,60,11
various factor known influence climate including ocean current surface albedo greenhouse gas variation solar luminosity change earth orbit,English,181,26
based historical record earth known undergone drastic climate change past including ice age,English,122,20
climate region depends number factor especially latitude,English,76,13
latitudinal band surface similar climatic attribute form climate region,English,90,14
number region ranging tropical climate equator polar climate northern southern extreme,English,144,25
weather influenced season result earth axis tilted relative orbital plane,English,121,20
thus given time summer winter one part earth directly exposed ray sun,English,123,25
exposure alternate earth revolves orbit,English,60,10
given time regardless season northern southern hemisphere experience opposite season,English,107,15
weather chaotic system readily modified small change environment accurate weather forecasting limited day,English,152,26
overall two thing happening worldwide temperature increasing average regional climate undergoing noticeable change,English,162,23
water chemical substance composed hydrogen oxygen h2o vital known form life,English,122,23
typical usage water refers liquid form state substance solid state ice gaseous state water vapor steam,English,160,30
water cover earth surface,English,40,7
earth found mostly ocean large body water water ground aquifer 001 air vapor cloud precipitation,English,179,33
ocean hold surface water glacier polar ice cap land surface water river lake pond,English,145,25
additionally minute amount earth water contained within biological body manufactured product,English,115,16
ocean major body saline water principal component hydrosphere,English,87,16
approximately earth surface area 361 million square kilometer covered ocean continuous body water customarily divided several principal ocean smaller sea,English,212,34
half area 000 meter 800 foot deep,English,67,13
average oceanic salinity around part per thousand ppt nearly seawater salinity range ppt,English,139,26
though generally recognized several separate ocean water comprise one global interconnected body salt water often referred world ocean global ocean,English,179,27
concept global ocean continuous body water relatively free interchange among part fundamental importance oceanography,English,164,26
major oceanic division defined part continent various archipelago criterion division descending order size pacific ocean atlantic ocean indian ocean southern ocean arctic ocean,English,262,41
smaller region ocean called sea gulf bay name,English,75,13
salt lake smaller body landlocked saltwater interconnected world ocean,English,125,20
two notable example salt lake aral sea great salt lake,English,76,15
lake latin word lacus terrain feature physical feature body liquid surface world localized bottom basin another type landform terrain feature global move slowly move,English,268,52
earth body water considered lake inland part ocean larger deeper pond fed river,English,145,32
world earth known harbor lake titan saturn largest moon lake ethane likely mixed methane,English,154,26
known titan lake fed river though titan surface carved numerous river bed,English,108,20
natural lake earth generally found mountainous area rift zone area ongoing recent glaciation,English,121,19
lake found endorheic basin along course mature river,English,80,14
part world many lake chaotic drainage pattern left last ice age,English,118,22
lake temporary geologic time scale slowly fill sediment spill basin containing,English,136,24
pond body standing water either natural made usually smaller lake,English,100,19
wide variety made body water classified pond including water garden designed aesthetic ornamentation fish pond designed commercial fish breeding solar pond designed store thermal energy,English,229,34
pond lake distinguished stream via current speed,English,65,10
current stream easily observed pond lake possess thermally driven micro current moderate wind driven current,English,137,19
feature distinguish pond many aquatic terrain feature stream pool tide pool,English,112,18
river natural watercourse usually freshwater flowing towards ocean lake sea another river,English,115,19
case river simply flow ground dry completely reaching another body water,English,114,21
small river may called several name including stream creek brook rivulet rill general rule defines called river,English,172,30
many name small river specific geographic location one example burn scotland north east england,English,120,19
sometimes river said larger creek always case due vagueness language,English,119,24
river part hydrological cycle,English,47,9
water within river generally collected precipitation surface runoff groundwater recharge spring release stored water natural ice snowpacks glacier,English,201,29
stream flowing body water current confined within bed stream bank,English,91,18
united state stream classified watercourse less foot metre wide,English,97,18
stream important conduit water cycle instrument groundwater recharge serve corridor fish wildlife migration,English,151,23
biological habitat immediate vicinity stream called riparian zone,English,87,15
given status ongoing holocene extinction stream play important corridor role connecting fragmented habitat thus conserving biodiversity,English,163,23
study stream waterway general involves many branch inter disciplinary natural science engineering including hydrology fluvial geomorphology aquatic ecology fish biology riparian ecology others,English,228,29
ecosystem composed variety biotic abiotic component function interrelated way,English,107,17
structure composition determined various environmental factor interrelated,English,104,14
variation factor initiate dynamic modification ecosystem,English,81,11
important component soil atmosphere radiation sun water living organism,English,112,17
central ecosystem concept idea living organism interact every element local environment,English,128,20
eugene odum founder ecology stated unit includes organism community given area interacting physical environment flow energy lead clearly defined trophic structure biotic diversity material cycle,English,280,45
exchange material living nonliving part within system ecosystem,English,94,15
within ecosystem specie connected dependent upon one another food chain exchange energy matter well environment,English,184,29
human ecosystem concept based human nature dichotomy idea specie ecologically dependent well abiotic constituent biotope,English,202,33
smaller unit size called microecosystem,English,55,10
example microsystem stone life,English,68,14
macroecosystem might involve whole ecoregion drainage basin,English,74,11
wilderness generally defined area significantly modified human activity,English,106,16
wilderness area found preserve estate farm conservation preserve ranch national forest national park even urban area along river gulch otherwise undeveloped area,English,205,28
wilderness area protected park considered important survival certain specie ecological study conservation solitude,English,146,19
nature writer believe wilderness area vital human spirit creativity ecologist consider wilderness area integral part earth self sustaining natural ecosystem biosphere,English,230,33
may preserve historic genetic trait provide habitat wild flora fauna may difficult impossible recreate zoo arboretum laboratory,English,187,30
although universal agreement definition life scientist generally accept biological manifestation life characterized organization metabolism growth adaptation response stimulus reproduction,English,242,32
life may said simply characteristic state organism,English,78,14
property common terrestrial organism plant animal fungi protist archaea bacteria cellular carbon water based complex organization metabolism capacity grow respond stimulus reproduce,English,254,33
entity property generally considered life,English,61,9
however every definition life considers property essential,English,88,14
human made analog life may considered life,English,61,11
biosphere part earth outer shell including land surface rock water air atmosphere within life occurs biotic process turn alter transform,English,190,29
broadest geophysiological point view biosphere global ecological system integrating living being relationship including interaction element lithosphere rock hydrosphere water atmosphere air,English,267,36
entire earth contains billion ton 150 trillion pound 1013 kilogram biomass life life within various environment within biosphere,English,177,26
nine tenth total biomass earth plant life animal life depends heavily existence,English,127,22
million specie plant animal life identified date estimate actual number existing specie range several million well million,English,198,34
number individual specie life constantly degree flux new specie appearing others ceasing exist continual basis,English,168,28
total number specie rapid decline,English,57,10
origin life earth well understood known occurred least billion year ago hadean archean eon primordial earth substantially different environment found present,English,270,45
life form possessed basic trait self replication inheritable trait,English,92,13
life appeared process evolution natural selection resulted development ever diverse life form,English,130,20
specie unable adapt changing environment competition life form became extinct,English,115,18
however fossil record retains evidence many older specie,English,75,12
current fossil dna evidence show existing specie trace continual ancestry back first primitive life form,English,134,22
basic form plant life developed process photosynthesis sun energy could harvested create condition allowed complex life form,English,175,28
resultant oxygen accumulated atmosphere gave rise ozone layer,English,89,15
incorporation smaller cell within larger one resulted development yet complex cell called eukaryote,English,126,19
cell within colony became increasingly specialized resulting true multicellular organism,English,102,12
ozone layer absorbing harmful ultraviolet radiation life colonized surface earth,English,98,14
first form life develop earth microbe remained form life billion year ago multi cellular organism began appear,English,180,32
microorganism single celled organism generally microscopic smaller human eye see,English,119,17
include bacteria fungi archaea protista,English,52,7
life form found almost every location earth liquid water including earth interior,English,128,22
reproduction rapid profuse,English,50,8
combination high mutation rate horizontal gene transfer ability make highly adaptable able survive new environment including outer space,English,175,27
form essential part planetary ecosystem,English,60,10
however microorganism pathogenic post health risk organism,English,88,13
originally aristotle divided living thing plant generally move fast enough human notice animal,English,137,21
linnaeus system became kingdom vegetabilia later plantae animalia,English,88,12
since become clear plantae originally defined included several unrelated group fungi several group algae removed new kingdom,English,177,29
however still often considered plant many context,English,66,10
bacterial life sometimes included flora classification use term bacterial flora separately plant flora,English,137,19
among many way classifying plant regional flora depending purpose study include fossil flora remnant plant life previous era,English,182,31
people many region country take great pride individual array characteristic flora vary widely across globe due difference climate terrain,English,187,30
regional flora commonly divided category native flora agricultural garden flora lastly mentioned intentionally grown cultivated,English,178,26
type native flora actually introduced century ago people migrating one region continent another become integral part native natural flora place introduced,English,237,40
example human interaction nature blur boundary considered nature,English,107,19
another category plant historically carved weed,English,69,11
though term fallen disfavor among botanist formal way categorize useless plant informal use word weed describe plant deemed worthy elimination illustrative general tendency people society seek alter shape course nature,English,316,54
similarly animal often categorized way domestic farm animal wild animal pest etc,English,106,16
according relationship human life,English,46,7
animal category several characteristic generally set apart living thing,English,106,16
